1 Aarav 76 76 84 8 2 2001 
2 Aarush 63 68 69 6 10 2001 
3 Aayush 81 76 83 28 10 2003 
4 Avyaan 96 94 94 16 1 2002 
5 Advik 73 71 65 4 7 2001 
6 Akarsh 81 83 64 15 7 2001 
7 Anay 51 55 79 13 5 2002 
8 Atharva 75 87 54 17 6 2003 
9 Arhaan 56 80 67 19 1 2002 
10 Ahaan 57 61 98 6 10 2002 
11 Arnav 73 98 90 5 5 2003 
12 Adhrit 75 96 97 6 6 2002 
13 Aryaman 60 57 84 9 5 2002 
14 Bhaavik 97 93 70 12 1 2003 
15 Bhavin 93 92 53 18 11 2001 
16 Chitaksh 76 96 73 9 7 2001 
17 Daksh 97 84 53 3 7 2002 
18 Darshit 87 79 69 25 12 2001 
19 Devansh 54 78 78 25 11 2003 
20 Dhanuk 57 86 87 7 12 2001 
21 Dhairya 55 75 63 2 12 2003 
22 Divij 68 81 81 1 2 2002 
23 Divit 70 87 63 7 10 2001 
24 Divyansh 98 82 78 7 3 2003 
25 Ehsaan 80 77 79 9 8 2002 
26 Eeshan 86 89 100 21 9 2001 
27 Faiyaz 77 86 54 23 11 2001 
28 Farhan 83 60 66 5 8 2001 
29 Gatik 68 51 90 3 8 2003 
30 Gauransh 74 90 59 16 7 2002 
31 Hardik 88 77 80 10 12 2003 
32 Himmat 96 93 98 9 1 2001 
33 Hriday 92 91 96 28 11 2003 
34 Hridaan 73 62 80 26 10 2003 
35 Hunar 93 77 88 13 6 2002 
36 Ishir 56 63 97 14 11 2003 
37 Ikshit 96 96 53 27 3 2002 
38 Ishaan 51 75 86 16 4 2003 
39 Ivaan 83 55 98 15 11 2001 
40 Izaan 69 58 96 14 5 2001 
41 Jaiyush 83 81 53 7 1 2001 
42 Jivin 55 79 56 25 8 2003 
43 Kanav 61 100 67 2 12 2003 
44 Krishiv 58 99 95 3 4 2001 
45 Kiaan 72 84 76 10 4 2003 
46 Kushagra 92 77 81 25 3 2002 
47 Krish 100 84 59 24 6 2002 
48 Lakshay 85 66 62 6 3 2002 
49 Lauhit 62 86 71 6 10 2001 
50 Lakshit 60 77 83 16 2 2002 
51 Manan 64 82 90 17 8 2001 
52 Manav 60 73 60 20 3 2003 
53 Medhansh 52 83 100 8 3 2003 
54 Moksh 57 95 66 22 7 2002 
55 Navodit 85 83 58 3 10 2003 
56 Nimit 91 60 67 14 2 2002 
57 Nirvaan 95 83 71 9 7 2001 
