1 Aarav 34 41 85 11 1 2003 
2 Aarush 49 38 43 2 6 2002 
3 Aayush 75 55 90 15 11 2002 
4 Avyaan 51 40 87 14 8 2001 
5 Advik 55 61 89 24 9 2001 
6 Akarsh 94 67 71 28 3 2001 
7 Anay 83 60 93 21 8 2001 
8 Atharva 39 92 73 21 7 2001 
9 Arhaan 40 86 63 28 9 2002 
10 Ahaan 94 57 47 7 1 2001 
11 Arnav 70 54 61 19 8 2001 
12 Adhrit 40 37 72 8 8 2003 
13 Aryaman 100 43 69 26 12 2003 
14 Bhaavik 72 60 70 8 5 2002 
15 Bhavin 79 68 54 25 8 2001 
16 Chitaksh 90 58 67 27 12 2003 
17 Daksh 86 45 69 28 9 2003 
18 Darshit 93 36 90 15 2 2001 
19 Devansh 55 48 39 12 1 2002 
20 Dhanuk 52 61 67 6 2 2002 
21 Dhairya 65 99 64 8 1 2001 
22 Divij 79 78 78 12 9 2003 
23 Divit 46 77 39 19 11 2003 
24 Divyansh 75 100 47 11 3 2003 
25 Ehsaan 64 83 52 20 6 2002 
26 Eeshan 65 58 41 5 2 2002 
27 Faiyaz 35 41 61 26 9 2003 
28 Farhan 73 56 78 7 9 2001 
29 Gatik 55 73 48 18 12 2002 
30 Gauransh 51 53 69 4 7 2001 
31 Hardik 49 36 79 7 1 2003 
32 Himmat 46 52 36 13 5 2003 
33 Hriday 51 34 79 28 6 2001 
34 Hridaan 59 80 88 18 3 2002 
35 Hunar 43 45 44 12 2 2001 
36 Ishir 90 71 47 10 1 2001 
37 Ikshit 35 50 63 6 7 2001 
38 Ishaan 60 80 70 21 5 2003 
39 Ivaan 94 90 52 5 3 2003 
40 Izaan 76 69 47 10 1 2002 
41 Jaiyush 99 45 91 6 10 2001 
42 Jivin 47 63 87 26 8 2001 
43 Kanav 46 50 55 5 6 2001 
44 Krishiv 54 64 43 4 5 2003 
45 Kiaan 73 48 86 15 10 2001 
46 Kushagra 59 99 36 18 5 2001 
47 Krish 54 33 40 27 9 2002 
48 Lakshay 43 73 99 28 11 2002 
49 Lauhit 77 54 85 5 10 2003 
50 Lakshit 49 89 72 5 3 2002 
51 Manan 76 96 57 19 3 2001 
52 Manav 58 48 59 10 6 2001 
53 Medhansh 93 93 75 7 12 2003 
54 Moksh 83 58 71 19 6 2002 
55 Navodit 36 81 96 23 6 2001 
56 Nimit 51 60 61 16 10 2002 
57 Nirvaan 54 59 96 6 8 2003 
58 Nishith 60 53 90 19 12 2002 
59 Ohas 92 41 92 19 11 2002 
60 Ojas 86 96 50 23 5 2001 
61 Parv 78 48 48 18 12 2001 
62 Pranay 37 99 44 26 7 2003 
63 Pratham 64 48 60 19 3 2001 
64 Pura 74 43 69 2 7 2002 
65 Raghav 62 82 96 7 2 2002 
66 Ranbir 50 71 33 9 11 2003 
67 Reyansh 83 41 59 27 9 2003 
68 Ritvi 96 45 57 4 5 2001 
69 Rya 34 58 65 9 5 2002 
70 Rudransh 97 60 41 1 7 2002 
71 Saatvik 98 46 72 6 12 2003 
72 Savar 53 34 91 1 7 2002 
73 Sahil 46 93 64 7 7 2003 
74 Saksham 78 65 76 6 5 2003 
75 Suman 91 70 44 20 11 2002 
76 Samar 90 46 87 7 3 2002 
77 Shaan 43 35 62 8 2 2003 
78 Sahaj 70 83 95 13 3 2001 
79 Shayana 68 94 66 26 5 2002 
80 Shlok 33 98 91 1 1 2002 
81 Shreya 83 50 45 27 2 2003 
82 Stuvan 61 100 33 15 3 2003 
83 Suveer 73 49 50 12 10 2002 
