Sr No.		Name		Phy		Che		Mat		Total		Date		Month		Year
1		Aaren		64		58		88		210		7		3		2003
2		Aarika		78		53		66		197		13		9		2001
3		Abagael		75		89		88		252		13		5		2001
4		Abagail		90		65		52		207		2		6		2003
5		Abbe		87		87		66		240		23		10		2001
6		Abbey		66		99		56		221		12		3		2003
7		Abbi		89		68		64		221		23		4		2001
8		Abbie		77		73		61		211		27		10		2003
9		Abby		83		74		97		254		12		7		2002
10		Abbye		69		69		56		194		1		9		2002
11		Abigael		65		66		62		193		1		8		2003
12		Abigail		53		60		60		173		21		6		2001
13		Abigale		94		92		99		285		12		9		2003
14		Abra		70		90		83		243		8		5		2001
15		Ada		81		76		63		220		16		4		2001
16		Adah		83		63		100		246		11		4		2003
17		Adaline		87		87		61		235		24		4		2002
18		Adan		97		99		57		253		25		10		2003
19		Adara		81		100		61		242		18		4		2002
20		Adda		83		96		72		251		18		3		2003
21		Addi		79		63		57		199		23		4		2002
22		Addia		79		56		77		212		28		3		2001
23		Addie		94		57		96		247		7		9		2001
24		Addy		52		77		58		187		26		6		2003
25		Adel		68		86		74		228		11		5		2002
26		Adela		57		100		65		222		3		12		2001
