Sr No: 1	Name : Aarav	Birthdate: 09/12/2002
Physics: 59	Chemistry: 90	Maths: 64	Total: 213

Sr No: 2	Name : Aarush	Birthdate: 20/08/2003
Physics: 79	Chemistry: 61	Maths: 87	Total: 227

Sr No: 3	Name : Aayush	Birthdate: 28/11/2002
Physics: 88	Chemistry: 60	Maths: 55	Total: 203

Sr No: 4	Name : Avyaan	Birthdate: 23/08/2002
Physics: 84	Chemistry: 64	Maths: 51	Total: 199

Sr No: 5	Name : Advik	Birthdate: 01/06/2003
Physics: 64	Chemistry: 92	Maths: 78	Total: 234

Sr No: 6	Name : Akarsh	Birthdate: 07/05/2003
Physics: 64	Chemistry: 94	Maths: 54	Total: 212

Sr No: 7	Name : Anay	Birthdate: 12/11/2003
Physics: 84	Chemistry: 89	Maths: 53	Total: 226

Sr No: 8	Name : Atharva	Birthdate: 28/08/2002
Physics: 70	Chemistry: 60	Maths: 87	Total: 217

Sr No: 9	Name : Arhaan	Birthdate: 03/02/2001
Physics: 93	Chemistry: 74	Maths: 100	Total: 267

Sr No: 10	Name : Ahaan	Birthdate: 24/09/2002
Physics: 84	Chemistry: 95	Maths: 65	Total: 244

Sr No: 11	Name : Arnav	Birthdate: 16/09/2002
Physics: 76	Chemistry: 89	Maths: 87	Total: 252

Sr No: 12	Name : Adhrit	Birthdate: 10/09/2003
Physics: 71	Chemistry: 84	Maths: 89	Total: 244

Sr No: 13	Name : Aryaman	Birthdate: 03/09/2001
Physics: 68	Chemistry: 87	Maths: 82	Total: 237

Sr No: 14	Name : Bhaavik	Birthdate: 20/06/2002
Physics: 79	Chemistry: 53	Maths: 55	Total: 187

Sr No: 15	Name : Bhavin	Birthdate: 15/08/2002
Physics: 82	Chemistry: 72	Maths: 81	Total: 235

Sr No: 16	Name : Chitaksh	Birthdate: 08/02/2002
Physics: 70	Chemistry: 100	Maths: 96	Total: 266

Sr No: 17	Name : Daksh	Birthdate: 02/05/2002
Physics: 92	Chemistry: 72	Maths: 61	Total: 225

Sr No: 18	Name : Darshit	Birthdate: 06/06/2001
Physics: 64	Chemistry: 81	Maths: 81	Total: 226

Sr No: 19	Name : Devansh	Birthdate: 13/04/2002
Physics: 100	Chemistry: 58	Maths: 84	Total: 242

Sr No: 20	Name : Dhanuk	Birthdate: 02/04/2003
Physics: 62	Chemistry: 100	Maths: 88	Total: 250

Sr No: 21	Name : Dhairya	Birthdate: 27/07/2002
Physics: 88	Chemistry: 80	Maths: 85	Total: 253

Sr No: 22	Name : Divij	Birthdate: 24/02/2003
Physics: 96	Chemistry: 79	Maths: 85	Total: 260

Sr No: 23	Name : Divit	Birthdate: 05/06/2002
Physics: 78	Chemistry: 66	Maths: 88	Total: 232

Sr No: 24	Name : Divyansh	Birthdate: 02/04/2001
Physics: 96	Chemistry: 69	Maths: 52	Total: 217

Sr No: 25	Name : Ehsaan	Birthdate: 28/07/2002
Physics: 77	Chemistry: 69	Maths: 79	Total: 225

Sr No: 26	Name : Eeshan	Birthdate: 26/11/2001
Physics: 65	Chemistry: 90	Maths: 56	Total: 211

Sr No: 27	Name : Faiyaz	Birthdate: 01/06/2003
Physics: 88	Chemistry: 97	Maths: 71	Total: 256

Sr No: 28	Name : Farhan	Birthdate: 21/04/2002
Physics: 55	Chemistry: 82	Maths: 70	Total: 207

Sr No: 29	Name : Gatik	Birthdate: 20/12/2003
Physics: 61	Chemistry: 97	Maths: 70	Total: 228

Sr No: 30	Name : Gauransh	Birthdate: 13/03/2001
Physics: 98	Chemistry: 89	Maths: 70	Total: 257

Sr No: 31	Name : Hardik	Birthdate: 13/05/2003
Physics: 65	Chemistry: 66	Maths: 54	Total: 185

Sr No: 32	Name : Himmat	Birthdate: 11/09/2001
Physics: 61	Chemistry: 93	Maths: 77	Total: 231

Sr No: 33	Name : Hriday	Birthdate: 17/12/2003
Physics: 60	Chemistry: 74	Maths: 99	Total: 233

Sr No: 34	Name : Hridaan	Birthdate: 10/02/2002
Physics: 68	Chemistry: 88	Maths: 88	Total: 244

Sr No: 35	Name : Hunar	Birthdate: 03/06/2003
Physics: 57	Chemistry: 78	Maths: 56	Total: 191

Sr No: 36	Name : Ishir	Birthdate: 20/05/2001
Physics: 58	Chemistry: 93	Maths: 89	Total: 240

Sr No: 37	Name : Ikshit	Birthdate: 14/11/2001
Physics: 52	Chemistry: 58	Maths: 93	Total: 203

Sr No: 38	Name : Ishaan	Birthdate: 02/09/2001
Physics: 65	Chemistry: 77	Maths: 81	Total: 223

Sr No: 39	Name : Ivaan	Birthdate: 21/08/2002
Physics: 61	Chemistry: 98	Maths: 82	Total: 241

Sr No: 40	Name : Izaan	Birthdate: 21/08/2003
Physics: 52	Chemistry: 86	Maths: 86	Total: 224

Sr No: 41	Name : Jaiyush	Birthdate: 06/06/2003
Physics: 53	Chemistry: 75	Maths: 95	Total: 223

Sr No: 42	Name : Jivin	Birthdate: 22/11/2003
Physics: 85	Chemistry: 54	Maths: 55	Total: 194

Sr No: 43	Name : Kanav	Birthdate: 27/06/2001
Physics: 65	Chemistry: 100	Maths: 80	Total: 245

Sr No: 44	Name : Krishiv	Birthdate: 07/08/2002
Physics: 51	Chemistry: 73	Maths: 59	Total: 183

Sr No: 45	Name : Kiaan	Birthdate: 11/03/2001
Physics: 70	Chemistry: 65	Maths: 71	Total: 206

Sr No: 46	Name : Kushagra	Birthdate: 02/03/2001
Physics: 54	Chemistry: 70	Maths: 98	Total: 222

Sr No: 47	Name : Krish	Birthdate: 07/10/2003
Physics: 87	Chemistry: 90	Maths: 65	Total: 242

Sr No: 48	Name : Lakshay	Birthdate: 14/09/2003
Physics: 99	Chemistry: 61	Maths: 76	Total: 236

Sr No: 49	Name : Lauhit	Birthdate: 06/04/2003
Physics: 56	Chemistry: 84	Maths: 100	Total: 240

Sr No: 50	Name : Lakshit	Birthdate: 14/05/2003
Physics: 81	Chemistry: 60	Maths: 71	Total: 212

Sr No: 51	Name : Manan	Birthdate: 18/06/2001
Physics: 86	Chemistry: 59	Maths: 84	Total: 229

Sr No: 52	Name : Manav	Birthdate: 08/09/2002
